date,total_milk_oz,gallons
2025-01-01,1570.5,12.26953125
2025-01-02,1255.5,9.80859375
2025-01-03,1233.5,9.63671875
2025-01-04,1626.0,12.703125
2025-01-05,1552.5,12.12890625
2025-01-06,1204.5,9.41015625
2025-01-07,1061.5,8.29296875
2025-01-08,1339.0,10.4609375
2025-01-09,1355.0,10.5859375
2025-01-10,1684.0,13.15625
2025-01-11,2129.0,16.6328125
2025-01-12,2008.0,15.6875
2025-01-13,1709.0,13.3515625
2025-01-14,1177.5,9.19921875
2025-01-15,1389.0,10.8515625
2025-01-16,1094.5,8.55078125
2025-01-17,2167.0,16.9296875
2025-01-18,2074.0,16.203125
2025-01-19,1904.5,14.87890625
2025-01-20,1477.0,11.5390625
2025-01-21,1253.0,9.7890625
2025-01-22,1489.0,11.6328125
2025-01-23,1448.5,11.31640625
2025-01-24,1702.0,13.296875
2025-01-25,2406.5,18.80078125
2025-01-26,1984.0,15.5
2025-01-27,1404.5,10.97265625
2025-01-28,1298.5,10.14453125
2025-01-29,1307.5,10.21484375
2025-01-30,1228.5,9.59765625
2025-01-31,1718.5,13.42578125
2025-02-01,2637.5,20.60546875
2025-02-02,1571.5,12.27734375
2025-02-03,1562.5,12.20703125
2025-02-04,1307.5,10.21484375
2025-02-05,1111.0,8.6796875
2025-02-06,1209.0,9.4453125
2025-02-07,1819.0,14.2109375
2025-02-08,2100.5,16.41015625
2025-02-09,2169.5,16.94921875
2025-02-10,1107.0,8.6484375
2025-02-11,1201.0,9.3828125
2025-02-12,1160.0,9.0625
2025-02-13,1406.5,10.98828125
2025-02-14,1837.5,14.35546875
2025-02-15,1690.5,13.20703125
2025-02-16,1664.5,13.00390625
2025-02-17,1183.0,9.2421875
2025-02-18,1200.5,9.37890625
2025-02-19,1161.0,9.0703125
2025-02-20,1394.5,10.89453125
2025-02-21,1339.0,10.4609375
2025-02-22,2214.0,17.296875
2025-02-23,2458.5,19.20703125
2025-02-24,1151.5,8.99609375
2025-02-25,1402.0,10.953125
2025-02-26,1192.5,9.31640625
2025-02-27,1489.5,11.63671875
2025-02-28,1861.0,14.5390625
2025-03-01,1943.0,15.1796875
2025-03-02,1599.0,12.4921875
2025-03-03,1146.5,8.95703125
2025-03-04,1485.5,11.60546875
2025-03-05,1127.0,8.8046875
2025-03-06,980.5,7.66015625
2025-03-07,1560.5,12.19140625
2025-03-08,2191.5,17.12109375
2025-03-09,1826.0,14.265625
2025-03-10,1224.0,9.5625
2025-03-11,1519.5,11.87109375
2025-03-12,1551.0,12.1171875
2025-03-13,1653.0,12.9140625
2025-03-14,2362.5,18.45703125
2025-03-15,2395.5,18.71484375
2025-03-16,2607.5,20.37109375
2025-03-17,1425.0,11.1328125
2025-03-18,1961.5,15.32421875
2025-03-19,1463.0,11.4296875
2025-03-20,1461.5,11.41796875
2025-03-21,2218.0,17.328125
2025-03-22,2524.0,19.71875
2025-03-23,2304.5,18.00390625
2025-03-24,1177.0,9.1953125
2025-03-25,1656.5,12.94140625
2025-03-26,1747.5,13.65234375
2025-03-27,1891.5,14.77734375
2025-03-28,2039.5,15.93359375
2025-03-29,2802.0,21.890625
2025-03-30,2446.0,19.109375
2025-03-31,1514.5,11.83203125
2025-04-01,1415.5,11.05859375
2025-04-02,1649.5,12.88671875
2025-04-03,1943.0,15.1796875
2025-04-04,2043.0,15.9609375
2025-04-05,2864.5,22.37890625
2025-04-06,2313.0,18.0703125
2025-04-07,1402.0,10.953125
2025-04-08,1536.5,12.00390625
2025-04-09,1571.0,12.2734375
2025-04-10,1449.0,11.3203125
2025-04-11,2129.5,16.63671875
2025-04-12,3038.0,23.734375
2025-04-13,3227.5,25.21484375
2025-04-14,1835.0,14.3359375
2025-04-15,1398.0,10.921875
2025-04-16,1746.0,13.640625
2025-04-17,2047.5,15.99609375
2025-04-18,2582.5,20.17578125
2025-04-19,2845.5,22.23046875
2025-04-20,1533.0,11.9765625
2025-04-21,1723.0,13.4609375
2025-04-22,1523.0,11.8984375
2025-04-23,2111.0,16.4921875
2025-04-24,1967.0,15.3671875
2025-04-25,2004.5,15.66015625
2025-04-26,2798.0,21.859375
2025-04-27,2600.0,20.3125
2025-04-28,1916.0,14.96875
2025-04-29,2030.0,15.859375
2025-04-30,3612.5,28.22265625
2025-05-01,2815.0,21.9921875
2025-05-02,2677.5,20.91796875
2025-05-03,2623.0,20.4921875
2025-05-04,2089.0,16.3203125
2025-05-05,1910.0,14.921875
2025-05-06,1287.0,10.0546875
2025-05-07,1362.5,10.64453125
2025-05-08,2131.0,16.6484375
2025-05-09,1886.5,14.73828125
2025-05-10,2861.0,22.3515625
2025-05-11,2740.5,21.41015625
2025-05-12,1786.5,13.95703125
2025-05-13,1433.0,11.1953125
2025-05-14,1427.5,11.15234375
2025-05-15,1887.5,14.74609375
2025-05-16,2313.5,18.07421875
2025-05-17,2316.0,18.09375
2025-05-18,2280.0,17.8125
2025-05-19,1307.5,10.21484375
2025-05-20,1569.0,12.2578125
2025-05-21,1377.5,10.76171875
2025-05-22,1583.5,12.37109375
2025-05-23,1510.5,11.80078125
2025-05-24,2062.0,16.109375
2025-05-25,1947.5,15.21484375
2025-05-26,1865.5,14.57421875
2025-05-27,1383.5,10.80859375
2025-05-28,985.5,7.69921875
2025-05-29,1637.0,12.7890625
2025-05-30,1742.0,13.609375
2025-05-31,2134.0,16.671875
2025-06-01,2210.0,17.265625
2025-06-02,1458.0,11.390625
2025-06-03,1501.0,11.7265625
2025-06-04,1438.0,11.234375
2025-06-05,1337.5,10.44921875
2025-06-06,1693.5,13.23046875
2025-06-07,2254.0,17.609375
2025-06-08,2030.0,15.859375
2025-06-09,1463.5,11.43359375
2025-06-10,1242.5,9.70703125
2025-06-11,1497.5,11.69921875
2025-06-12,1425.0,11.1328125
2025-06-13,1621.5,12.66796875
2025-06-14,2218.5,17.33203125
2025-06-15,1682.0,13.140625
2025-06-16,1355.0,10.5859375
2025-06-17,1333.5,10.41796875
2025-06-18,1343.0,10.4921875
2025-06-19,1968.5,15.37890625
2025-06-20,1677.0,13.1015625
2025-06-21,1749.5,13.66796875
2025-06-22,2035.5,15.90234375
2025-06-23,1508.5,11.78515625
2025-06-24,1446.5,11.30078125
2025-06-25,1506.0,11.765625
2025-06-26,1389.5,10.85546875
2025-06-27,1741.5,13.60546875
2025-06-28,2001.0,15.6328125
2025-06-29,2229.5,17.41796875
2025-06-30,1840.5,14.37890625
2025-07-01,1451.5,11.33984375
2025-07-02,1247.0,9.7421875
2025-07-03,1704.5,13.31640625
2025-07-04,1774.5,13.86328125
2025-07-05,1889.0,14.7578125
2025-07-06,1213.0,9.4765625
2025-07-07,1147.5,8.96484375
2025-07-08,1240.0,9.6875
2025-07-09,1555.0,12.1484375
2025-07-10,1420.5,11.09765625
2025-07-11,1578.5,12.33203125
2025-07-12,2403.0,18.7734375
2025-07-13,1792.5,14.00390625
2025-07-14,1241.5,9.69921875
2025-07-15,1509.5,11.79296875
2025-07-16,1488.0,11.625
2025-07-17,1434.5,11.20703125
2025-07-18,1634.5,12.76953125
2025-07-19,2155.5,16.83984375
2025-07-20,1991.5,15.55859375
2025-07-21,1334.0,10.421875
2025-07-22,1540.0,12.03125
2025-07-23,1632.5,12.75390625
2025-07-24,1392.0,10.875
2025-07-25,1595.0,12.4609375
2025-07-26,2176.5,17.00390625
2025-07-27,1866.5,14.58203125
2025-07-28,1571.5,12.27734375
2025-07-29,1429.0,11.1640625
2025-07-30,1514.0,11.828125
2025-07-31,1630.0,12.734375
2025-08-01,1799.0,14.0546875
2025-08-02,2380.0,18.59375
2025-08-03,1979.0,15.4609375
2025-08-04,1776.0,13.875
2025-08-05,1654.0,12.921875
2025-08-06,1485.5,11.60546875
2025-08-07,1690.5,13.20703125
2025-08-08,1824.5,14.25390625
2025-08-09,2132.5,16.66015625
2025-08-10,1593.5,12.44921875
2025-08-11,1584.5,12.37890625
2025-08-12,1383.5,10.80859375
2025-08-13,1504.0,11.75
2025-08-14,1525.5,11.91796875
2025-08-15,1917.0,14.9765625
2025-08-16,2011.0,15.7109375
2025-08-17,2231.0,17.4296875
2025-08-18,1725.5,13.48046875
2025-08-19,1771.5,13.83984375
2025-08-20,1698.5,13.26953125
2025-08-21,1667.5,13.02734375
2025-08-22,2050.5,16.01953125
2025-08-23,3380.5,26.41015625
2025-08-24,3314.5,25.89453125
2025-08-25,2007.0,15.6796875
2025-08-26,1539.5,12.02734375
2025-08-27,1467.0,11.4609375
2025-08-28,1771.0,13.8359375
2025-08-29,2099.0,16.3984375
2025-08-30,2609.5,20.38671875
2025-08-31,2506.5,19.58203125
2025-09-01,2996.5,23.41015625
2025-09-02,1480.0,11.5625
2025-09-03,1672.5,13.06640625
2025-09-04,1419.5,11.08984375
2025-09-05,1778.5,13.89453125
2025-09-06,2468.5,19.28515625
2025-09-07,2523.0,19.7109375
2025-09-08,1099.0,8.5859375
2025-09-09,1521.5,11.88671875
2025-09-10,1177.5,9.19921875
2025-09-11,1625.5,12.69921875
2025-09-12,1695.0,13.2421875
2025-09-13,2333.5,18.23046875
2025-09-14,1976.5,15.44140625
2025-09-15,1386.0,10.828125
2025-09-16,1520.5,11.87890625
2025-09-17,1191.5,9.30859375
2025-09-18,1600.5,12.50390625
2025-09-19,2059.0,16.0859375
2025-09-20,2414.0,18.859375
2025-09-21,2375.5,18.55859375
2025-09-22,1308.5,10.22265625
2025-09-23,1243.0,9.7109375
2025-09-24,1202.0,9.390625
2025-09-25,1252.5,9.78515625
2025-09-26,1961.5,15.32421875
2025-09-27,2395.5,18.71484375
2025-09-28,2184.5,17.06640625
2025-09-29,1499.5,11.71484375
2025-09-30,1432.5,11.19140625
2025-10-01,1251.5,9.77734375
2025-10-02,1389.5,10.85546875
