model,lookback_days,window_id,split_idx_global,status,error_message,train_start,train_end,test_start,test_end,n_train,n_test,n_train_eval,train_eval_start,train_eval_end,generalization_gap_RMSE,model_hyperparams_json,feature_columns_json,RMSE,MAE,MAPE,Accuracy,Bias,ErrorPct,ErrorStd,train_RMSE,train_MAE,train_MAPE,train_Accuracy,train_Bias,train_ErrorPct,train_ErrorStd
XGBoost,45,1,1,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-02-14,2025-02-15,2025-03-16,45,30,0,2025-01-01,2025-02-14,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""subsample"": 0.9}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
XGBoost,45,2,2,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-03-16,2025-03-17,2025-04-15,75,30,0,2025-01-01,2025-03-16,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""subsample"": 0.9}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
XGBoost,45,3,3,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-04-15,2025-04-16,2025-05-15,105,30,0,2025-01-01,2025-04-15,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""subsample"": 0.9}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
XGBoost,45,4,4,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-05-15,2025-05-16,2025-06-14,135,30,0,2025-01-01,2025-05-15,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""subsample"": 0.9}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
XGBoost,45,5,5,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-06-14,2025-06-15,2025-07-14,165,30,0,2025-01-01,2025-06-14,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""subsample"": 0.9}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
XGBoost,45,6,6,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-07-14,2025-07-15,2025-08-13,195,30,0,2025-01-01,2025-07-14,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""subsample"": 0.9}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
XGBoost,45,7,7,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-08-13,2025-08-14,2025-09-12,225,30,0,2025-01-01,2025-08-13,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""subsample"": 0.9}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
XGBoost,45,8,8,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-09-12,2025-09-13,2025-10-12,255,30,0,2025-01-01,2025-09-12,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""subsample"": 0.9}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
XGBoost,45,9,9,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-10-12,2025-10-13,2025-11-11,285,30,0,2025-01-01,2025-10-12,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""subsample"": 0.9}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
XGBoost,45,10,10,error,AttributeError: 'numpy.datetime64' object has no attribute 'dayofweek',2025-01-01,2025-10-13,2025-10-14,2025-11-12,286,30,0,2025-01-01,2025-10-13,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""subsample"": 0.9}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",,,,,,,,,,,,,,
