split_idx_global,member_model,weight,weight_source
1,Prophet,0.5,equal_fallback
1,ARIMA,0.5,equal_fallback
2,Prophet,0.5726267509015749,inverse_historical_rmse
2,ARIMA,0.4273732490984251,inverse_historical_rmse
3,Prophet,0.6097176584420987,inverse_historical_rmse
3,ARIMA,0.3902823415579013,inverse_historical_rmse
4,Prophet,0.5702493018197113,inverse_historical_rmse
4,ARIMA,0.4297506981802886,inverse_historical_rmse
5,Prophet,0.5084682408980961,inverse_historical_rmse
5,ARIMA,0.49153175910190405,inverse_historical_rmse
6,Prophet,0.5143184197342912,inverse_historical_rmse
6,ARIMA,0.4856815802657089,inverse_historical_rmse
7,Prophet,0.5059291622502243,inverse_historical_rmse
7,ARIMA,0.4940708377497757,inverse_historical_rmse
8,Prophet,0.5041479864654715,inverse_historical_rmse
8,ARIMA,0.49585201353452846,inverse_historical_rmse
9,Prophet,0.5234033213489894,inverse_historical_rmse
9,ARIMA,0.4765966786510106,inverse_historical_rmse
10,Prophet,0.5350808783914597,inverse_historical_rmse
10,ARIMA,0.4649191216085402,inverse_historical_rmse
