date,actual,prediction,error,abs_error,ape
2025-03-17,11.1328125,13.856966362718698,-2.7241538627186976,2.7241538627186976,24.46959259143813
2025-03-18,15.32421875,19.314523021195345,-3.9903042711953454,3.9903042711953454,26.039201973642832
2025-03-19,11.4296875,22.138365117694736,-10.708677617694736,10.708677617694736,93.6917795669806
2025-03-20,11.41796875,29.355591812313847,-17.937623062313847,17.937623062313847,157.09994881807543
2025-03-21,17.328125,44.44930626286042,-27.121181262860418,27.121181262860418,156.51538330235047
2025-03-22,19.71875,68.68383816702034,-48.96508816702034,48.96508816702034,248.31740433354216
2025-03-23,18.00390625,123.31470742993788,-105.31080117993788,105.31080117993788,584.9330679553938
2025-03-24,9.1953125,257.1822324209739,-247.9869199209739,247.9869199209739,2696.884090899291
2025-03-25,12.94140625,663.2417600583392,-650.3003538083392,650.3003538083392,5024.958966946418
2025-03-26,13.65234375,1820.5487766820386,-1806.8964329320386,1806.8964329320386,13235.06400087559
2025-03-27,14.77734375,5172.37539193806,-5157.59804818806,5157.59804818806,34902.06450796044
2025-03-28,15.93359375,14838.930586867391,-14822.996993117391,14822.996993117391,93029.84138852789
2025-03-29,21.890625,42707.85022516119,-42685.95960016119,42685.95960016119,194996.53207782414
2025-03-30,19.109375,123087.80933931818,-123068.69996431818,123068.69996431818,644022.6326832677
2025-03-31,11.83203125,354970.38006909046,-354958.54803784046,354958.54803784046,2999979.805139886
2025-04-01,11.05859375,1024016.944468986,-1024005.885875236,1024005.885875236,9259820.091277301
2025-04-02,12.88671875,2954310.2813702263,-2954297.3946514763,2954297.3946514763,22925132.8593749
2025-04-03,15.1796875,8523534.88086391,-8523519.70117641,8523519.70117641,56150824.588295445
2025-04-04,15.9609375,24591622.68109075,-24591606.72015325,24591606.72015325,154073698.49141535
2025-04-05,22.37890625,70950593.46277186,-70950571.08386561,70950571.08386561,317042174.8554651
2025-04-06,18.0703125,204703590.77370262,-204703572.70339012,204703572.70339012,1132817004.1519213
2025-04-07,10.953125,590602315.8919455,-590602304.9388205,590602304.9388205,5392089517.273111
2025-04-08,12.00390625,1703981764.095819,-1703981752.0919127,1703981752.0919127,14195227091.946947
2025-04-09,12.2734375,4916259137.265277,-4916259124.991839,4916259124.991839,40056089624.37654
2025-04-10,11.3203125,14184192012.833323,-14184192001.51301,14184192001.51301,125298590489.55594
2025-04-11,16.63671875,40923657366.126816,-40923657349.4901,40923657349.4901,245983946500.80923
2025-04-12,23.734375,118071282145.695,-118071282121.96063,118071282121.96063,497469523094.5017
2025-04-13,25.21484375,340654491346.75476,-340654491321.5399,340654491321.5399,1351007742499.0583
2025-04-14,14.3359375,982842571220.2552,-982842571205.9193,982842571205.9193,6855795592063.088
2025-04-15,10.921875,2835657666405.347,-2835657666394.4253,2835657666394.4253,25963103097173.566
