model,lookback_days,window_id,split_idx_global,status,error_message,train_start,train_end,test_start,test_end,n_train,n_test,n_train_eval,train_eval_start,train_eval_end,generalization_gap_RMSE,model_hyperparams_json,feature_columns_json,RMSE,MAE,MAPE,Accuracy,Bias,ErrorPct,ErrorStd,train_RMSE,train_MAE,train_MAPE,train_Accuracy,train_Bias,train_ErrorPct,train_ErrorStd
LinearRegression,45,1,1,ok,,2025-01-01,2025-02-14,2025-02-15,2025-03-16,45,30,31,2025-01-15,2025-02-14,1.847007531058687,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",3.083653621412417,2.473099286077372,19.899256091760886,80.10074390823911,-0.9429630788108682,24.37746123217672,2.9359394218630332,1.23664609035373,1.0949885910490855,9.321329201757953,90.67867079824205,-9.168293364646454e-16,9.903851304377909,1.23664609035373
LinearRegression,45,2,2,ok,,2025-01-01,2025-03-16,2025-03-17,2025-04-15,75,30,61,2025-01-15,2025-03-16,551930661026.721,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",551930661028.5609,144661933158.87015,1169999938529.602,-1169999938429.602,144661933158.87015,3626214755846.62,532635315838.29736,1.8399548470904865,1.427955278214603,11.51539587776219,88.48460412223781,-1.1852085797309867e-14,14.641480871661031,1.8399548470904865
LinearRegression,45,3,3,ok,,2025-01-01,2025-04-15,2025-04-16,2025-05-15,105,30,91,2025-01-15,2025-04-15,2.2491217408273605,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",4.14622903125385,2.9194376627604166,17.963913366604515,82.03608663339548,-0.50208740234375,24.894099910900735,4.115716635049107,1.8971072904264896,1.4727883810525413,11.134005693221948,88.86599430677805,0.00010396098042582417,14.113679499570633,1.8971072875779726
LinearRegression,45,4,4,ok,,2025-01-01,2025-05-15,2025-05-16,2025-06-14,135,30,121,2025-01-15,2025-05-15,4.621053992043133,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",7.050796445925286,6.637225341796875,52.715898580019335,47.284101419980665,6.637225341796875,52.67008725289971,2.379279362345245,2.4297424538821533,1.884507864959969,13.775423255589192,86.22457674441081,-5.3973237345041326e-05,17.064664380785306,2.4297424532826843
LinearRegression,45,5,5,ok,,2025-01-01,2025-06-14,2025-06-15,2025-07-14,165,30,151,2025-01-15,2025-06-14,0.031084394724657294,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",2.4581077341891096,1.7584976196289062,14.79348610747645,85.20651389252355,1.1456720987955729,19.476186318551907,2.1747940304593594,2.4270233394644523,1.8339917012397817,13.467742010839315,86.53225798916068,-4.698898618584437e-06,17.250581806041605,2.4270233394599035
LinearRegression,45,6,6,ok,,2025-01-01,2025-07-14,2025-07-15,2025-08-13,195,30,181,2025-01-15,2025-07-14,0.051459441785485005,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",2.43826468185701,2.0858670234680177,15.74573181782782,84.25426818217218,-1.8615763664245606,18.47425342501316,1.5746961899873884,2.386805240071525,1.7569982570837874,13.06525472048993,86.93474527951007,7.639932369000345e-07,17.25916565551182,2.386805240071403
LinearRegression,45,7,7,ok,,2025-01-01,2025-08-13,2025-08-14,2025-09-12,225,30,211,2025-01-15,2025-08-13,1.612305838389283,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",3.8897824577157443,2.6539960861206056,15.12325657317195,84.87674342682806,-2.2761618932088217,25.42449661295578,3.154281947489345,2.2774766193264613,1.6589076326921652,12.39388262836564,87.60611737163435,2.0610212714751186e-06,16.576143036674175,2.277476619325529
LinearRegression,45,8,8,ok,,2025-01-01,2025-09-12,2025-09-13,2025-10-12,255,30,241,2025-01-15,2025-09-12,-0.36740742485772193,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",2.0326728286211626,1.672521209716797,13.623578221467087,86.37642177853292,0.8127413431803385,14.509914975471732,1.863118444248829,2.4000802534788845,1.7179030422353152,12.643619777496395,87.3563802225036,-2.279321187759336e-06,17.225054274191884,2.4000802534778023
LinearRegression,45,9,9,ok,,2025-01-01,2025-10-12,2025-10-13,2025-11-11,285,30,271,2025-01-15,2025-10-12,-0.12792361244421446,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",2.2095708564411836,1.7686767578125,14.674787080499543,85.32521291950046,0.9751902262369792,15.933357912423396,1.982727261195068,2.337494468885398,1.684198921456988,12.430184448755659,87.56981555124435,1.9481701164667897e-05,16.765868236639896,2.337494468804213
LinearRegression,45,10,10,ok,,2025-01-01,2025-10-13,2025-10-14,2025-11-12,286,30,272,2025-01-15,2025-10-13,-0.1274893266409607,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",2.2061865584033136,1.7910812377929688,14.894380108817199,85.1056198911828,0.8804143269856771,15.968929029845949,2.0229013182352262,2.3336758850442743,1.6809500525979435,12.407602714678417,87.59239728532158,-3.0293184168198528e-06,16.75033518781708,2.3336758850423083
