model,lookback_days,window_id,split_idx_global,status,error_message,train_start,train_end,test_start,test_end,n_train,n_test,n_train_eval,train_eval_start,train_eval_end,generalization_gap_RMSE,model_hyperparams_json,feature_columns_json,RMSE,MAE,MAPE,Accuracy,Bias,ErrorPct,ErrorStd,train_RMSE,train_MAE,train_MAPE,train_Accuracy,train_Bias,train_ErrorPct,train_ErrorStd
LinearRegression,45,1,1,ok,,2025-01-01,2025-02-14,2025-02-15,2025-03-16,45,30,31,2025-01-15,2025-02-14,1.4591844790019202,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",2.69583056935565,2.060823320804213,16.406791985083764,83.59320801491623,-0.2645622295368869,21.31157168128482,2.682817415586622,1.23664609035373,1.0949885910490855,9.321329201757953,90.67867079824205,-9.168293364646454e-16,9.903851304377909,1.23664609035373
LinearRegression,45,2,2,ok,,2025-01-01,2025-03-16,2025-03-17,2025-04-15,75,30,61,2025-01-15,2025-03-16,5.292881615342834,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",7.13283646243332,5.78172595947442,43.798129908375806,56.201870091624194,4.021058710830505,46.86312730464173,5.891387174840268,1.8399548470904865,1.427955278214603,11.51539587776219,88.48460412223781,-1.1852085797309867e-14,14.641480871661031,1.8399548470904865
LinearRegression,45,3,3,ok,,2025-01-01,2025-04-15,2025-04-16,2025-05-15,105,30,91,2025-01-15,2025-04-15,14.268245363758393,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",16.165352654184883,13.880399169921873,84.61839169196311,15.381608308036888,-4.30630330403646,97.05732631622801,15.581218767728245,1.8971072904264896,1.4727883810525413,11.134005693221948,88.86599430677805,0.00010396098042582417,14.113679499570633,1.8971072875779726
LinearRegression,45,4,4,ok,,2025-01-01,2025-05-15,2025-05-16,2025-06-14,135,30,121,2025-01-15,2025-05-15,10.825517113449013,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",13.255259567331166,9.254794514973957,71.43247426441805,28.567525735581953,0.9877657063802086,99.01798801391242,13.218404786759393,2.4297424538821533,1.884507864959969,13.775423255589192,86.22457674441081,-5.3973237345041326e-05,17.064664380785306,2.4297424532826843
LinearRegression,45,5,5,ok,,2025-01-01,2025-06-14,2025-06-15,2025-07-14,165,30,151,2025-01-15,2025-06-14,5.81584716165855,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",8.242870501123003,5.73669204711914,43.25230126039287,56.74769873960713,2.880312347412109,65.31027076098695,7.7232580482351585,2.4270233394644523,1.8339917012397817,13.467742010839315,86.53225798916068,-4.698898618584437e-06,17.250581806041605,2.4270233394599035
LinearRegression,45,6,6,ok,,2025-01-01,2025-07-14,2025-07-15,2025-08-13,195,30,181,2025-01-15,2025-07-14,4.241634884933582,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",6.628440125005107,4.152322514851888,31.27579504382429,68.72420495617571,0.8294162750244141,50.22239119200413,6.576342990865238,2.386805240071525,1.7569982570837874,13.06525472048993,86.93474527951007,7.639932369000345e-07,17.25916565551182,2.386805240071403
LinearRegression,45,7,7,ok,,2025-01-01,2025-08-13,2025-08-14,2025-09-12,225,30,211,2025-01-15,2025-08-13,7.498898275402227,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",9.776374894728688,5.978350575764974,43.47429064174453,56.52570935825547,0.7777168273925781,63.900594210602925,9.745391865834426,2.2774766193264613,1.6589076326921652,12.39388262836564,87.60611737163435,2.0610212714751186e-06,16.576143036674175,2.277476619325529
LinearRegression,45,8,8,ok,,2025-01-01,2025-09-12,2025-09-13,2025-10-12,255,30,241,2025-01-15,2025-09-12,-0.07024808236869973,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",2.329832171110185,1.9391802469889323,16.188179777407598,83.8118202225924,1.3178698221842449,16.63114015887108,1.9212852670324791,2.4000802534788845,1.7179030422353152,12.643619777496395,87.3563802225036,-2.279321187759336e-06,17.225054274191884,2.4000802534778023
LinearRegression,45,9,9,ok,,2025-01-01,2025-10-12,2025-10-13,2025-11-11,285,30,271,2025-01-15,2025-10-12,0.4212306240822863,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",2.7587250929676843,2.2269358317057293,18.916230688370483,81.08376931162951,1.742076619466146,19.893344519864993,2.139096349040633,2.337494468885398,1.684198921456988,12.430184448755659,87.56981555124435,1.9481701164667897e-05,16.765868236639896,2.337494468804213
LinearRegression,45,10,10,ok,,2025-01-01,2025-10-13,2025-10-14,2025-11-12,286,30,272,2025-01-15,2025-10-13,0.10336442459433881,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",2.437040309638613,1.9587407430013022,16.483863244035888,83.51613675596411,1.125806172688802,17.639906108238737,2.1614175747271185,2.3336758850442743,1.6809500525979435,12.407602714678417,87.59239728532158,-3.0293184168198528e-06,16.75033518781708,2.3336758850423083
