model,lookback_days,window_id,split_idx_global,status,error_message,train_start,train_end,test_start,test_end,n_train,n_test,n_train_eval,train_eval_start,train_eval_end,generalization_gap_RMSE,model_hyperparams_json,feature_columns_json,RMSE,MAE,MAPE,Accuracy,Bias,ErrorPct,ErrorStd,train_RMSE,train_MAE,train_MAPE,train_Accuracy,train_Bias,train_ErrorPct,train_ErrorStd
XGBoost_Aggressive,45,1,1,ok,,2025-01-01,2025-02-14,2025-02-15,2025-03-16,45,30,31,2025-01-15,2025-02-14,2.4350970294840093,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.07, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 900, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.3, ""subsample"": 1.0}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",2.435621293362348,1.9857313791910807,15.434558205181506,84.5654417948185,0.012582015991210938,19.25451783654266,2.435588794840721,0.0005242638783386278,0.00042020120928364416,0.0036078197799489613,99.99639218022006,-6.67572021484375e-06,0.004198639801494909,0.0005242213739349748
XGBoost_Aggressive,45,2,2,ok,,2025-01-01,2025-03-16,2025-03-17,2025-04-15,75,30,61,2025-01-15,2025-03-16,3.296045859650357,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.07, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 900, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.3, ""subsample"": 1.0}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",3.2965472616601628,2.462101205190023,14.216622874426003,85.78337712557399,-2.234175141652425,21.658496560601957,2.423981288042769,0.0005014020098056881,0.00037914807679223235,0.0032426992844385013,99.99675730071556,-3.4160301333568134e-06,0.00398991744128455,0.0005013903730381263
XGBoost_Aggressive,45,3,3,ok,,2025-01-01,2025-04-15,2025-04-16,2025-05-15,105,30,91,2025-01-15,2025-04-15,4.691502695453713,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.07, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 900, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.3, ""subsample"": 1.0}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",4.692015569736442,3.4863434473673505,21.065520902447325,78.93447909755267,-0.0717575709025065,28.171020823034127,4.691466823677574,0.0005128742827287361,0.00037705767285692825,0.0031215335687977616,99.9968784664312,-3.3011803260216347e-06,0.0038155687274694177,0.0005128636583859015
XGBoost_Aggressive,45,4,4,ok,,2025-01-01,2025-05-15,2025-05-16,2025-06-14,135,30,121,2025-01-15,2025-05-15,3.2726883571022745,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.07, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 900, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.3, ""subsample"": 1.0}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",3.27324041113448,2.612202262878418,20.320412662183514,79.67958733781649,2.2744760513305664,24.451401962370205,2.35390345617817,0.0005520540322056034,0.00042646581476384944,0.0033225496581326145,99.99667745034186,-3.4127353636686466e-06,0.00387720795864432,0.0005520434835335011
XGBoost_Aggressive,45,5,5,ok,,2025-01-01,2025-06-14,2025-06-15,2025-07-14,165,30,151,2025-01-15,2025-06-14,2.1824444294354,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.07, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 900, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.3, ""subsample"": 1.0}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",2.1830051760518403,1.5382805188496909,12.552631016089515,87.44736898391048,0.5046034177144368,17.29648174154352,2.123884881414253,0.0005607466164401245,0.00043085552998725944,0.003380230055202111,99.9966197699448,-3.363123003220716e-06,0.0039856251986006425,0.0005607365310488637
XGBoost_Aggressive,45,6,6,ok,,2025-01-01,2025-07-14,2025-07-15,2025-08-13,195,30,181,2025-01-15,2025-07-14,1.9557697189208327,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.07, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 900, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.3, ""subsample"": 1.0}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",1.9564924994426363,1.5221418380737304,11.48993252792879,88.51006747207121,0.34155476888020836,14.823960059706248,1.9264483487055866,0.0007227805218036189,0.0005687139310889481,0.004443935444477775,99.99555606455552,-2.0785884962556113e-06,0.00522647954217333,0.0007227775329716432
XGBoost_Aggressive,45,7,7,ok,,2025-01-01,2025-08-13,2025-08-14,2025-09-12,225,30,211,2025-01-15,2025-08-13,3.839788178609946,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.07, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 900, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.3, ""subsample"": 1.0}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",3.8405772958064235,2.618960158030192,15.249408807215376,84.75059119278463,-2.019430700937907,25.102880562211876,3.2667925568014287,0.0007891171964774338,0.0006202883065029343,0.004890928160077147,99.99510907183992,1.123166197284138e-06,0.005743426479336452,0.0007891163971646377
XGBoost_Aggressive,45,8,8,ok,,2025-01-01,2025-09-12,2025-09-13,2025-10-12,255,30,241,2025-01-15,2025-09-12,2.189859429209931,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.07, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 900, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.3, ""subsample"": 1.0}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",2.19075866251487,1.8004034996032714,13.088151902709388,86.91184809729062,-0.43735564549764,15.638385812650297,2.1466586959121576,0.0008992333049389149,0.000692806797898162,0.005476294125927306,99.99452370587407,2.86102294921875e-06,0.0064536768969629885,0.0008992287535766678
XGBoost_Aggressive,45,9,9,ok,,2025-01-01,2025-10-12,2025-10-13,2025-11-11,285,30,271,2025-01-15,2025-10-12,1.7658869016703007,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.07, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 900, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.3, ""subsample"": 1.0}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",1.766922717704967,1.435713799794515,10.30475423954402,89.69524576045598,-0.5594428698221843,12.741393643347273,1.6760189634210658,0.0010358160346662212,0.0007786909152660863,0.0060978842234148045,99.99390211577659,1.5272865436173894e-06,0.007429474330646693,0.0010358149086914458
XGBoost_Aggressive,45,10,10,ok,,2025-01-01,2025-10-13,2025-10-14,2025-11-12,286,30,272,2025-01-15,2025-10-13,1.7694646822198579,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.07, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 900, ""objective"": ""reg:squarederror"", ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.3, ""subsample"": 1.0}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",1.770487044485133,1.4544738133748372,10.452930349978926,89.54706965002107,-0.525706926981608,12.815227186456388,1.6906379274147543,0.0010223622652751412,0.0007747271481682273,0.006140501978903869,99.9938594980211,3.4079832189223347e-06,0.007338170110289195,0.0010223565851056559
