model,lookback_days,window_id,split_idx_global,status,error_message,train_start,train_end,test_start,test_end,n_train,n_test,n_train_eval,train_eval_start,train_eval_end,generalization_gap_RMSE,model_hyperparams_json,feature_columns_json,RMSE,MAE,MAPE,Accuracy,Bias,ErrorPct,ErrorStd,train_RMSE,train_MAE,train_MAPE,train_Accuracy,train_Bias,train_ErrorPct,train_ErrorStd
SARIMA,45,1,1,ok,,2025-01-01,2025-02-14,2025-02-15,2025-02-21,45,7,45,2025-01-01,2025-02-14,-0.4980910280470918,"{""order"": ""(2,1,2)"", ""seasonal_order"": ""(1,1,1,7)""}",[],2.4766848018921173,1.8258735263109194,15.911080524815645,84.08891947518435,1.5132616922016182,23.036536722675567,1.9606138474565797,2.974775829939209,2.2012639836519963,18.656625948451097,81.3433740515489,-0.05363333259296965,24.321110515599052,2.97429230305723
SARIMA,45,2,2,ok,,2025-01-01,2025-03-01,2025-03-02,2025-03-08,60,7,60,2025-01-01,2025-03-01,-0.5139003343830852,"{""order"": ""(2,1,2)"", ""seasonal_order"": ""(1,1,1,7)""}",[],2.0564108281204185,1.739244036222827,17.624951064820817,82.37504893517918,1.2209825343513394,18.260186333639513,1.6546985057163388,2.5703111625035038,1.7444269780868524,14.653124020071656,85.34687597992834,-0.03511696413984451,21.045438263512594,2.5700712579459184
SARIMA,45,3,3,ok,,2025-01-01,2025-03-16,2025-03-17,2025-03-23,75,7,75,2025-01-01,2025-03-16,0.16729502764635384,"{""order"": ""(2,1,2)"", ""seasonal_order"": ""(1,1,1,7)""}",[],2.6871110541274565,2.4466749977813627,18.422294851627882,81.57770514837212,2.4466749977813627,18.024716485107252,1.1110118237199549,2.5198160264811027,1.7492347183701702,14.689084153175,85.310915846825,-0.17823384152326247,20.32340180902453,2.5135046260245613
SARIMA,45,4,4,ok,,2025-01-01,2025-03-31,2025-04-01,2025-04-07,90,7,90,2025-01-01,2025-03-31,-0.016987971654200074,"{""order"": ""(2,1,2)"", ""seasonal_order"": ""(1,1,1,7)""}",[],2.3703011093470914,2.023171281471867,14.79884861218402,85.20115138781598,1.2161356555618126,15.581158387256474,2.0345371503718708,2.3872890810012914,1.7006417930321418,14.068026021414267,85.93197397858573,-0.10316587906437061,18.62511823778169,2.3850589002506557
SARIMA,45,5,5,ok,,2025-01-01,2025-04-15,2025-04-16,2025-04-22,105,7,105,2025-01-01,2025-04-15,1.1460501824661513,"{""order"": ""(2,1,2)"", ""seasonal_order"": ""(1,1,1,7)""}",[],3.6177344719638933,2.2522516353169193,16.7742808867811,83.2257191132189,1.2227085458728553,23.152673739363937,3.4048475034111814,2.471684289497742,1.7871565818214183,14.069167972750368,85.93083202724964,-0.08575159936494808,18.717970204481038,2.4701963262373114
SARIMA,45,6,6,ok,,2025-01-01,2025-04-30,2025-05-01,2025-05-07,120,7,120,2025-01-01,2025-04-30,1.972955204986997,"{""order"": ""(2,1,2)"", ""seasonal_order"": ""(1,1,1,7)""}",[],4.7627508082364916,3.9928704637275922,30.020963716230963,69.97903628376903,3.1848033723543483,28.904258494851636,3.541302407419864,2.7897956032494946,1.9315913865332086,14.411481589822154,85.58851841017784,-0.21241652580273884,20.35563621529893,2.781697094846257
SARIMA,45,7,7,ok,,2025-01-01,2025-05-15,2025-05-16,2025-05-22,135,7,135,2025-01-01,2025-05-15,0.31371409638354875,"{""order"": ""(2,1,2)"", ""seasonal_order"": ""(1,1,1,7)""}",[],3.170214117674611,2.6592392398579148,21.39098107490931,78.6090189250907,2.4846907156858515,22.283767548728733,1.9689006067569648,2.8565000212910623,2.0632379746642857,15.462126717439407,84.5378732825606,-0.07599649532438067,20.44493979340206,2.8554889081091264
SARIMA,45,8,8,ok,,2025-01-01,2025-05-30,2025-05-31,2025-06-06,150,7,150,2025-01-01,2025-05-30,-1.6702687476601379,"{""order"": ""(2,1,2)"", ""seasonal_order"": ""(1,1,1,7)""}",[],1.2231088784430528,1.1080930054193898,8.599138546281262,91.40086145371873,-0.5344918191811351,9.309425374490106,1.1001426379132224,2.8933776261031907,2.099853391328425,16.093575405675047,83.90642459432496,0.07001485783224025,20.78210414879345,2.8925303813300327
SARIMA,45,9,9,ok,,2025-01-01,2025-06-14,2025-06-15,2025-06-21,165,7,165,2025-01-01,2025-06-14,-0.4786099563562898,"{""order"": ""(2,1,2)"", ""seasonal_order"": ""(1,1,1,7)""}",[],2.2951818627855936,1.6680950922364743,12.098841525707984,87.90115847429202,0.38697159140924925,18.51269702530397,2.2623246386631033,2.7737918191418833,1.9881660198457853,15.259416211777205,84.74058378822279,0.06483987682028504,20.00525319514764,2.773033870386795
SARIMA,45,10,10,ok,,2025-01-01,2025-06-29,2025-06-30,2025-07-06,180,7,180,2025-01-01,2025-06-29,0.16161789324870712,"{""order"": ""(2,1,2)"", ""seasonal_order"": ""(1,1,1,7)""}",[],2.845039846083056,2.1855078553190608,19.17489515497459,80.82510484502541,0.4997044054804555,22.924062069158435,2.8008118881752346,2.683421952834349,1.9349386304196836,14.748153840281503,85.2518461597185,0.04313261367618439,19.454264539966204,2.6830752793372703
