model,lookback_days,window_id,split_idx_global,status,error_message,train_start,train_end,test_start,test_end,n_train,n_test,n_train_eval,train_eval_start,train_eval_end,generalization_gap_RMSE,model_hyperparams_json,feature_columns_json,RMSE,MAE,MAPE,Accuracy,Bias,ErrorPct,ErrorStd,train_RMSE,train_MAE,train_MAPE,train_Accuracy,train_Bias,train_ErrorPct,train_ErrorStd
LinearRegression,45,1,1,ok,,2025-01-01,2025-02-14,2025-02-15,2025-02-21,45,7,31,2025-01-15,2025-02-14,1.725527209974144,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",2.962173300327874,2.2479030701570966,19.701897700695138,80.29810229930486,1.2350705099483628,27.55223997813532,2.692409979299442,1.23664609035373,1.0949885910490855,9.321329201757953,90.67867079824205,-9.168293364646454e-16,9.903851304377909,1.23664609035373
LinearRegression,45,2,2,ok,,2025-01-01,2025-03-01,2025-03-02,2025-03-08,60,7,46,2025-01-15,2025-03-01,0.5458905713196827,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",2.222809816472324,1.7164529366769787,18.40973043349218,81.59026956650783,1.5816533110902071,19.73774932420794,1.561811859259338,1.6769192451526411,1.2680350275775878,10.034402274951312,89.9655977250487,-1.1778018174284269e-14,13.545750211559305,1.6769192451526413
LinearRegression,45,3,3,ok,,2025-01-01,2025-03-16,2025-03-17,2025-03-23,75,7,61,2025-01-15,2025-03-16,1.9366004473171021,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",3.7765552944075886,3.3363843970257046,22.57451184843253,77.42548815156746,0.5208090640768981,25.33253635627325,3.740471602685059,1.8399548470904865,1.427955278214603,11.51539587776219,88.48460412223781,-1.1852085797309867e-14,14.641480871661031,1.8399548470904865
LinearRegression,45,4,4,ok,,2025-01-01,2025-03-31,2025-04-01,2025-04-07,90,7,76,2025-01-15,2025-03-31,2.9045825907718834,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",4.655936730764896,3.0669991629464284,24.414298209275557,75.58570179072444,-0.11771065848214286,30.60576875951247,4.654448521765539,1.751354139993013,1.3609129253186678,10.85230857095622,89.14769142904377,4.738255550986842e-05,13.441238529937777,1.75135413935205
LinearRegression,45,5,5,ok,,2025-01-01,2025-04-15,2025-04-16,2025-04-22,105,7,91,2025-01-15,2025-04-15,8.853586555841813,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",10.750693846268303,8.270769391741071,56.46398197849399,43.53601802150601,-5.833583286830357,68.8019834024242,9.030322486589542,1.8971072904264896,1.4727883810525413,11.134005693221948,88.86599430677805,0.00010396098042582417,14.113679499570633,1.8971072875779726
LinearRegression,45,6,6,ok,,2025-01-01,2025-04-30,2025-05-01,2025-05-07,120,7,106,2025-01-15,2025-04-30,15.457786527956909,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",17.72626643050838,14.579323468889509,100.90216233013109,-0.902162330131091,2.4409306117466514,107.57745002530146,17.557402407930578,2.2684799025514724,1.6491608529720667,12.295121867907241,87.70487813209276,8.493099572523585e-06,16.232868065777133,2.2684799025355735
LinearRegression,45,7,7,ok,,2025-01-01,2025-05-15,2025-05-16,2025-05-22,135,7,121,2025-01-15,2025-05-15,0.37442022681205156,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",2.804162680694205,2.408900669642857,16.639207961355247,83.36079203864475,0.8521902901785714,19.710753604001,2.671535148397541,2.4297424538821533,1.884507864959969,13.775423255589192,86.22457674441081,-5.3973237345041326e-05,17.064664380785306,2.4297424532826843
LinearRegression,45,8,8,ok,,2025-01-01,2025-05-30,2025-05-31,2025-06-06,150,7,136,2025-01-15,2025-05-30,6.764772892271338,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",9.292431690271867,8.496519906180245,70.08794628823868,29.912053711761317,-8.271468026297432,70.72730882164112,4.234631437127452,2.527658798000529,1.933446210973403,14.152740311685758,85.84725968831424,-3.0293184168198528e-06,17.85734667269733,2.527658797998714
LinearRegression,45,9,9,ok,,2025-01-01,2025-06-14,2025-06-15,2025-06-21,165,7,151,2025-01-15,2025-06-14,1.4360076524751353,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",3.8630309919395875,3.3700430733816966,27.501739527206688,72.4982604727933,3.231135777064732,31.15880423799677,2.117255306961833,2.4270233394644523,1.8339917012397817,13.467742010839315,86.53225798916068,-4.698898618584437e-06,17.250581806041605,2.4270233394599035
LinearRegression,45,10,10,ok,,2025-01-01,2025-06-29,2025-06-30,2025-07-06,180,7,166,2025-01-15,2025-06-29,10.20866712263877,"{""fit_intercept"": true}","[""lag_1"", ""lag_2"", ""lag_3"", ""lag_7"", ""lag_14"", ""mean_7"", ""mean_14"", ""std_7"", ""std_14"", ""mean_7_vs_14_diff"", ""mean_7_vs_14_ratio"", ""mean_7_vs_14_pct"", ""day_of_week"", ""is_weekend"", ""month"", ""day_of_month"", ""week_of_year""]",12.586110892710785,9.088720049176896,71.99501840146266,28.00498159853734,-0.802447727748328,101.41326762471998,12.560504171721956,2.377443770072015,1.7691043715879142,13.004981028366714,86.99501897163329,-5.147543298192771e-06,17.014658383136943,2.377443770066442
