model,lookback_days,window_id,split_idx_global,status,error_message,train_start,train_end,test_start,test_end,n_train,n_test,n_train_eval,train_eval_start,train_eval_end,generalization_gap_RMSE,model_hyperparams_json,feature_columns_json,RMSE,MAE,MAPE,Accuracy,Bias,ErrorPct,ErrorStd,train_RMSE,train_MAE,train_MAPE,train_Accuracy,train_Bias,train_ErrorPct,train_ErrorStd
ARIMA,45,1,1,ok,,2025-01-01,2025-02-14,2025-02-15,2025-02-21,45,7,45,2025-01-01,2025-02-14,-1.5407489858742909,"{""order"": ""(2,1,2)""}",[],1.3929129523337909,1.258949046679263,12.440736331696165,87.55926366830383,1.186248287006053,12.955984691073152,0.7300832105687974,2.9336619382080817,2.0939581666354683,17.436605997241614,82.56339400275839,-0.27949688633271697,23.984972412534137,2.920317424223113
ARIMA,45,2,2,ok,,2025-01-01,2025-03-01,2025-03-02,2025-03-08,60,7,60,2025-01-01,2025-03-01,-0.16257204077793785,"{""order"": ""(2,1,2)""}",[],2.7958912405246634,2.2671055837942697,22.518521227933633,77.48147877206637,0.7826771354296798,24.826505639067424,2.6841058717044173,2.9584632813026013,2.2019222212281924,18.18485700786284,81.81514299213717,-0.47209950767115444,24.223587108760388,2.9205525233545124
ARIMA,45,3,3,ok,,2025-01-01,2025-03-16,2025-03-17,2025-03-23,75,7,75,2025-01-01,2025-03-16,1.4053020720828906,"{""order"": ""(2,1,2)""}",[],4.434217546702496,4.052822839446551,26.37798712290725,73.62201287709274,-3.454557683054236,29.744030857910808,2.779984975847036,3.0289154746196054,2.2697431697478154,18.567949227481044,81.43205077251895,-0.4734005398780988,24.429508182084,2.99169197632932
ARIMA,45,4,4,ok,,2025-01-01,2025-03-31,2025-04-01,2025-04-07,90,7,90,2025-01-01,2025-03-31,0.5116188576419463,"{""order"": ""(2,1,2)""}",[],3.4884459240165557,3.326685587280434,23.12404184644622,76.87595815355378,1.845165013609215,22.931275799998783,2.960510266379805,2.9768270663746095,2.2710601497863783,18.392335284394452,81.60766471560555,-0.26780496775064605,23.224567366345656,2.964756293921735
ARIMA,45,5,5,ok,,2025-01-01,2025-04-15,2025-04-16,2025-04-22,105,7,105,2025-01-01,2025-04-15,0.20649146785281447,"{""order"": ""(2,1,2)""}",[],3.2706149747456803,2.963264005526283,20.923278693165962,79.07672130683403,0.37395208204867914,20.93118829593321,3.2491663782210574,3.064123506892866,2.3275339100943513,18.10615770906393,81.89384229093608,-0.37842613284672855,23.204489646420516,3.0406654744434
ARIMA,45,6,6,ok,,2025-01-01,2025-04-30,2025-05-01,2025-05-07,120,7,120,2025-01-01,2025-04-30,3.083881481975203,"{""order"": ""(2,1,2)""}",[],6.362435217147739,5.170881308329499,40.03253883638947,59.96746116361053,1.6882028457807405,38.612448893012555,6.134374706838473,3.2785537351725362,2.4413914787710307,18.046068116888517,81.95393188311148,-0.5137613874487528,23.92184110826892,3.2380493867729263
ARIMA,45,7,7,ok,,2025-01-01,2025-05-15,2025-05-16,2025-05-22,135,7,135,2025-01-01,2025-05-15,-0.4442477134405114,"{""order"": ""(2,1,2)""}",[],3.1690517128387174,3.053983376599242,22.173498045263422,77.82650195473659,-0.08992548472544547,22.275596883215588,3.1677755864080557,3.613299426279229,2.8035461279836618,20.103901497287048,79.89609850271296,-0.7597616716382373,25.86160989854433,3.5325196314046536
ARIMA,45,8,8,ok,,2025-01-01,2025-05-30,2025-05-31,2025-06-06,150,7,150,2025-01-01,2025-05-30,-0.8465430795345723,"{""order"": ""(2,1,2)""}",[],2.696338260877343,2.546082756178833,20.09950029552703,79.90049970447296,0.8802654713358619,20.522588190163944,2.54860211038226,3.5428813404119155,2.754706469284747,19.990032357201397,80.0099676427986,-0.6644355055080777,25.447258712102673,3.4800192027141392
ARIMA,45,9,9,ok,,2025-01-01,2025-06-14,2025-06-15,2025-06-21,165,7,165,2025-01-01,2025-06-14,-1.2862069926386126,"{""order"": ""(2,1,2)""}",[],1.8919440304414787,1.57426586363786,12.882758320403656,87.11724167959635,0.7482821773743412,15.260222813841336,1.7376783354082144,3.1781510230800913,2.4044866460244037,18.05480366789672,81.94519633210328,-0.1400324949030244,22.92158894923994,3.175064538852126
ARIMA,45,10,10,ok,,2025-01-01,2025-06-29,2025-06-30,2025-07-06,180,7,180,2025-01-01,2025-06-29,-0.37055118333296466,"{""order"": ""(2,1,2)""}",[],3.0190511809360965,2.4347925245265105,22.59038732374039,77.40961267625961,2.077313784080253,24.326167788837612,2.190761848212128,3.389602364269061,2.6301284412521877,19.256711396474245,80.74328860352576,-0.5161852716944544,24.57392919892234,3.3500682012675695
ARIMA,45,11,11,ok,,2025-01-01,2025-07-14,2025-07-15,2025-07-21,195,7,195,2025-01-01,2025-07-14,-1.3048353369793357,"{""order"": ""(2,1,2)""}",[],2.074821311070651,1.734214686254435,13.496632018233681,86.50336798176632,0.15338442638399638,16.09906815084913,2.0691439511584946,3.3796566480499868,2.577392871830374,19.08974455746154,80.91025544253846,-0.40370363725144864,24.716116716889562,3.3554586023341755
ARIMA,45,12,12,ok,,2025-01-01,2025-07-29,2025-07-30,2025-08-05,210,7,210,2025-01-01,2025-07-29,-0.892902358510637,"{""order"": ""(2,1,2)""}",[],2.083147206754403,1.2780254146569825,7.718016504618356,92.28198349538164,-1.2270498958631268,14.659911225667177,1.683404537855046,2.97604956526504,2.2353648857177073,16.899895770408413,83.10010422959158,-0.10772348757015893,21.85384340278384,2.97409930317398
ARIMA,45,13,13,ok,,2025-01-01,2025-08-13,2025-08-14,2025-08-20,225,7,225,2025-01-01,2025-08-13,-1.1205708579414848,"{""order"": ""(2,1,2)""}",[],1.7889435362632282,1.36989126028595,9.20181673953538,90.79818326046463,-0.856590848914456,12.444824600092023,1.5705321052095673,2.909514394204713,2.1637380594229954,16.32842450896769,83.67157549103231,-0.10800007300666721,21.37703298576482,2.9075092423438607
